transaction_id,order_id,payment_id,customer_id,payment_date,payment_method,status,amount,fee,tax,refund_amount,expected_settlement,actual_settlement,settlement_status,settlement_date,injected_exception
TXN_1016,ORD_2016,PAY_3016,CUST_156,2026-08-18,CARD,captured,4999,89.98,16.2,0.0,4892.82,4892.82,settled,2026-08-03,NONE
TXN_1017,ORD_2017,PAY_3017,CUST_134,2026-08-12,WALLET,failed,1999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1018,ORD_2018,PAY_3018,CUST_114,2026-08-04,WALLET,captured,999,17.98,3.24,0.0,977.78,977.78,settled,2026-08-08,NONE
TXN_1019,ORD_2019,PAY_3019,CUST_109,2026-08-17,WALLET,captured,999,17.98,3.24,0.0,977.78,877.78,settled,2026-08-05,FEE_MISMATCH
TXN_1020,ORD_2020,PAY_3020,CUST_116,2026-08-09,UPI,captured,7999,143.98,25.92,0.0,7829.1,0.0,missing,,MISSING_SETTLEMENT
TXN_1021,ORD_2021,PAY_3021,CUST_149,2026-08-01,UPI,captured,2499,44.98,8.1,0.0,2445.92,2345.92,settled,2026-08-03,FEE_MISMATCH
TXN_1022,ORD_2022,PAY_3022,CUST_146,2026-08-21,CARD,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-08,NONE
TXN_1023,ORD_2023,PAY_3023,CUST_132,2026-08-17,CARD,captured,1499,26.98,4.86,0.0,1467.16,1467.16,settled,2026-08-06,NONE
TXN_1024,ORD_2024,PAY_3024,CUST_158,2026-08-01,NETBANKING,failed,499,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1025,ORD_2025,PAY_3025,CUST_107,2026-08-19,NETBANKING,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-03,NONE
TXN_1026,ORD_2026,PAY_3026,CUST_160,2026-08-03,UPI,failed,799,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1027,ORD_2027,PAY_3027,CUST_148,2026-08-06,CARD,captured,7999,143.98,25.92,0.0,7829.1,15658.2,settled,2026-08-06,DUPLICATE
TXN_1028,ORD_2028,PAY_3028,CUST_116,2026-08-07,WALLET,captured,7999,143.98,25.92,0.0,7829.1,0.0,missing,,MISSING_SETTLEMENT
TXN_1029,ORD_2029,PAY_3029,CUST_145,2026-08-15,WALLET,captured,1999,35.98,6.48,0.0,1956.54,3913.08,settled,2026-08-06,DUPLICATE
TXN_1030,ORD_2030,PAY_3030,CUST_107,2026-08-18,CARD,captured,1499,26.98,4.86,374.75,1092.41,1467.16,settled,2026-08-02,PARTIAL_REFUND
TXN_1031,ORD_2031,PAY_3031,CUST_114,2026-08-03,UPI,captured,1499,26.98,4.86,0.0,1467.16,1467.16,settled,2026-08-03,NONE
TXN_1032,ORD_2032,PAY_3032,CUST_157,2026-08-09,NETBANKING,captured,499,8.98,1.62,0.0,488.4,0.0,missing,,MISSING_SETTLEMENT
TXN_1033,ORD_2033,PAY_3033,CUST_142,2026-08-08,CARD,captured,4999,89.98,16.2,0.0,4892.82,4892.82,delayed,2026-08-12,DELAYED_SETTLEMENT
TXN_1034,ORD_2034,PAY_3034,CUST_150,2026-08-14,WALLET,captured,4999,89.98,16.2,0.0,4892.82,4892.82,settled,2026-08-02,NONE
TXN_1035,ORD_2035,PAY_3035,CUST_122,2026-08-02,WALLET,failed,3999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1036,ORD_2036,PAY_3036,CUST_143,2026-08-11,UPI,failed,799,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1037,ORD_2037,PAY_3037,CUST_151,2026-08-15,CARD,captured,799,14.38,2.59,0.0,782.03,782.03,settled,2026-08-06,NONE
TXN_1038,ORD_2038,PAY_3038,CUST_108,2026-08-03,CARD,captured,3999,71.98,12.96,0.0,3914.06,7828.12,settled,2026-08-03,DUPLICATE
TXN_1039,ORD_2039,PAY_3039,CUST_128,2026-08-01,UPI,captured,7999,143.98,25.92,0.0,7829.1,0.0,missing,,MISSING_SETTLEMENT
TXN_1040,ORD_2040,PAY_3040,CUST_105,2026-08-16,CARD,failed,1499,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1041,ORD_2041,PAY_3041,CUST_130,2026-08-01,WALLET,captured,1499,26.98,4.86,0.0,1467.16,1467.16,settled,2026-08-05,NONE
TXN_1042,ORD_2042,PAY_3042,CUST_124,2026-08-05,WALLET,captured,1999,35.98,6.48,0.0,1956.54,1856.54,settled,2026-08-07,FEE_MISMATCH
TXN_1043,ORD_2043,PAY_3043,CUST_112,2026-08-02,CARD,captured,1999,35.98,6.48,0.0,1956.54,1956.54,delayed,2026-08-13,DELAYED_SETTLEMENT
TXN_1044,ORD_2044,PAY_3044,CUST_147,2026-08-17,UPI,captured,2499,44.98,8.1,0.0,2445.92,2445.92,delayed,2026-08-13,DELAYED_SETTLEMENT
TXN_1045,ORD_2045,PAY_3045,CUST_110,2026-08-03,UPI,captured,499,8.98,1.62,0.0,488.4,488.4,settled,2026-08-06,NONE
TXN_1046,ORD_2046,PAY_3046,CUST_143,2026-08-20,WALLET,captured,1499,26.98,4.86,0.0,1467.16,1467.16,delayed,2026-08-13,DELAYED_SETTLEMENT
TXN_1047,ORD_2047,PAY_3047,CUST_102,2026-08-11,WALLET,captured,799,14.38,2.59,0.0,782.03,782.03,settled,2026-08-03,NONE
TXN_1048,ORD_2048,PAY_3048,CUST_115,2026-08-11,WALLET,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-05,NONE
TXN_1049,ORD_2049,PAY_3049,CUST_159,2026-08-20,UPI,failed,799,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1050,ORD_2050,PAY_3050,CUST_136,2026-08-05,UPI,captured,799,14.38,2.59,0.0,782.03,0.0,missing,,MISSING_SETTLEMENT
TXN_1051,ORD_2051,PAY_3051,CUST_159,2026-08-15,UPI,captured,2499,44.98,8.1,249.9,2196.02,2445.92,settled,2026-08-04,PARTIAL_REFUND
TXN_1052,ORD_2052,PAY_3052,CUST_153,2026-08-04,NETBANKING,captured,7999,143.98,25.92,0.0,7829.1,0.0,missing,,MISSING_SETTLEMENT
TXN_1053,ORD_2053,PAY_3053,CUST_160,2026-08-18,NETBANKING,captured,999,17.98,3.24,0.0,977.78,977.78,settled,2026-08-07,NONE
TXN_1054,ORD_2054,PAY_3054,CUST_109,2026-08-21,NETBANKING,captured,1999,35.98,6.48,499.75,1456.79,1956.54,settled,2026-08-03,PARTIAL_REFUND
TXN_1055,ORD_2055,PAY_3055,CUST_154,2026-08-21,WALLET,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-02,NONE
TXN_1056,ORD_2056,PAY_3056,CUST_127,2026-08-21,UPI,captured,1999,35.98,6.48,199.9,1756.64,1956.54,settled,2026-08-08,PARTIAL_REFUND
TXN_1057,ORD_2057,PAY_3057,CUST_116,2026-08-18,WALLET,failed,999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1058,ORD_2058,PAY_3058,CUST_100,2026-08-12,UPI,captured,799,14.38,2.59,0.0,782.03,0.0,missing,,MISSING_SETTLEMENT
TXN_1059,ORD_2059,PAY_3059,CUST_137,2026-08-05,CARD,failed,7999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1060,ORD_2060,PAY_3060,CUST_102,2026-08-08,NETBANKING,captured,1999,35.98,6.48,499.75,1456.79,1956.54,settled,2026-08-03,PARTIAL_REFUND
TXN_1061,ORD_2061,PAY_3061,CUST_142,2026-08-20,NETBANKING,failed,799,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1062,ORD_2062,PAY_3062,CUST_147,2026-08-01,CARD,captured,999,17.98,3.24,0.0,977.78,977.78,settled,2026-08-05,NONE
TXN_1063,ORD_2063,PAY_3063,CUST_111,2026-08-04,WALLET,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-03,NONE
TXN_1064,ORD_2064,PAY_3064,CUST_124,2026-08-15,WALLET,captured,499,8.98,1.62,0.0,488.4,488.4,settled,2026-08-08,NONE
TXN_1065,ORD_2065,PAY_3065,CUST_122,2026-08-07,CARD,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-07,NONE
TXN_1066,ORD_2066,PAY_3066,CUST_125,2026-08-21,NETBANKING,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-04,NONE
TXN_1067,ORD_2067,PAY_3067,CUST_132,2026-08-06,NETBANKING,captured,3999,71.98,12.96,0.0,3914.06,3914.06,settled,2026-08-04,NONE
TXN_1068,ORD_2068,PAY_3068,CUST_137,2026-08-11,UPI,captured,1999,35.98,6.48,0.0,1956.54,1956.54,delayed,2026-08-11,DELAYED_SETTLEMENT
TXN_1069,ORD_2069,PAY_3069,CUST_127,2026-08-19,UPI,failed,7999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1070,ORD_2070,PAY_3070,CUST_112,2026-08-01,UPI,failed,1999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1071,ORD_2071,PAY_3071,CUST_133,2026-08-20,CARD,captured,7999,143.98,25.92,0.0,7829.1,7779.1,settled,2026-08-02,FEE_MISMATCH
TXN_1072,ORD_2072,PAY_3072,CUST_120,2026-08-10,NETBANKING,captured,799,14.38,2.59,0.0,782.03,682.03,settled,2026-08-04,FEE_MISMATCH
TXN_1073,ORD_2073,PAY_3073,CUST_135,2026-08-13,CARD,failed,999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1074,ORD_2074,PAY_3074,CUST_143,2026-08-18,NETBANKING,failed,999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1075,ORD_2075,PAY_3075,CUST_153,2026-08-19,NETBANKING,captured,499,8.98,1.62,0.0,488.4,488.4,settled,2026-08-05,NONE
TXN_1076,ORD_2076,PAY_3076,CUST_138,2026-08-15,WALLET,failed,2499,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1077,ORD_2077,PAY_3077,CUST_143,2026-08-17,WALLET,captured,1499,26.98,4.86,0.0,1467.16,1467.16,settled,2026-08-04,NONE
TXN_1078,ORD_2078,PAY_3078,CUST_142,2026-08-07,UPI,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-03,NONE
TXN_1079,ORD_2079,PAY_3079,CUST_109,2026-08-03,UPI,captured,499,8.98,1.62,0.0,488.4,976.8,settled,2026-08-06,DUPLICATE
TXN_1080,ORD_2080,PAY_3080,CUST_129,2026-08-16,CARD,failed,3999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1081,ORD_2081,PAY_3081,CUST_125,2026-08-14,CARD,captured,1499,26.98,4.86,0.0,1467.16,1467.16,settled,2026-08-08,NONE
TXN_1082,ORD_2082,PAY_3082,CUST_114,2026-08-04,WALLET,captured,999,17.98,3.24,0.0,977.78,0.0,missing,,MISSING_SETTLEMENT
TXN_1083,ORD_2083,PAY_3083,CUST_129,2026-08-17,WALLET,captured,999,17.98,3.24,0.0,977.78,1955.56,settled,2026-08-06,DUPLICATE
TXN_1084,ORD_2084,PAY_3084,CUST_127,2026-08-09,WALLET,captured,7999,143.98,25.92,0.0,7829.1,15658.2,settled,2026-08-05,DUPLICATE
TXN_1085,ORD_2085,PAY_3085,CUST_148,2026-08-21,NETBANKING,failed,1499,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1086,ORD_2086,PAY_3086,CUST_115,2026-08-09,WALLET,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-03,NONE
TXN_1087,ORD_2087,PAY_3087,CUST_121,2026-08-13,UPI,captured,2499,44.98,8.1,0.0,2445.92,2445.92,settled,2026-08-03,NONE
TXN_1088,ORD_2088,PAY_3088,CUST_144,2026-08-18,CARD,captured,999,17.98,3.24,0.0,977.78,927.78,settled,2026-08-05,FEE_MISMATCH
TXN_1089,ORD_2089,PAY_3089,CUST_129,2026-08-19,UPI,captured,3999,71.98,12.96,0.0,3914.06,3904.06,settled,2026-08-05,FEE_MISMATCH
TXN_1090,ORD_2090,PAY_3090,CUST_124,2026-08-13,UPI,captured,4999,89.98,16.2,0.0,4892.82,4892.82,settled,2026-08-08,NONE
TXN_1091,ORD_2091,PAY_3091,CUST_154,2026-08-08,CARD,failed,3999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1092,ORD_2092,PAY_3092,CUST_117,2026-08-06,WALLET,captured,3999,71.98,12.96,0.0,3914.06,3814.06,settled,2026-08-04,FEE_MISMATCH
TXN_1093,ORD_2093,PAY_3093,CUST_153,2026-08-03,CARD,captured,4999,89.98,16.2,0.0,4892.82,4882.82,settled,2026-08-06,FEE_MISMATCH
TXN_1094,ORD_2094,PAY_3094,CUST_141,2026-08-06,CARD,failed,3999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1095,ORD_2095,PAY_3095,CUST_103,2026-08-11,WALLET,captured,1999,35.98,6.48,0.0,1956.54,1956.54,settled,2026-08-05,NONE
TXN_1096,ORD_2096,PAY_3096,CUST_121,2026-08-09,NETBANKING,failed,3999,0.0,0.0,0.0,0.0,0.0,not_applicable,,NONE
TXN_1097,ORD_2097,PAY_3097,CUST_153,2026-08-12,WALLET,captured,799,14.38,2.59,0.0,782.03,0.0,missing,,MISSING_SETTLEMENT
TXN_1098,ORD_2098,PAY_3098,CUST_114,2026-08-01,UPI,captured,799,14.38,2.59,0.0,782.03,782.03,settled,2026-08-03,NONE
TXN_1099,ORD_2099,PAY_3099,CUST_139,2026-08-04,CARD,captured,999,17.98,3.24,0.0,977.78,1955.56,settled,2026-08-07,DUPLICATE
TXN_1100,ORD_2100,PAY_3100,CUST_136,2026-08-20,WALLET,captured,1499,26.98,4.86,374.75,1092.41,1467.16,settled,2026-08-03,PARTIAL_REFUND
TXN_1013,ORD_2013,PAY_3013,CUST_117,2026-08-02,CARD,captured,7999,143.98,25.92,0.0,7829.1,7829.1,settled,2026-08-03,DUPLICATE
